"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"2342","H2",2004,2004,"2004",2,0,1,"Import",792,"Turkey","TUR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,2710135924,NA,NA,0
"2343","H2",2004,2004,"2004",2,0,2,"Export",792,"Turkey","TUR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,248215582,NA,NA,0
"2344","H2",2004,2004,"2004",2,0,1,"Import",800,"Uganda","UGA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,77553447,NA,NA,0
"2345","H2",2004,2004,"2004",2,0,2,"Export",800,"Uganda","UGA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,1798753,NA,NA,0
"2346","H2",2004,2004,"2004",2,0,3,"Re-Export",800,"Uganda","UGA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,836846,NA,NA,0
"2347","H2",2004,2004,"2004",2,0,4,"Re-Import",800,"Uganda","UGA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,59485,NA,NA,0
"2348","H2",2004,2004,"2004",2,0,1,"Import",807,"North Macedonia","MKD",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,75737447,NA,NA,0
"2349","H2",2004,2004,"2004",2,0,2,"Export",807,"North Macedonia","MKD",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,38725594,NA,NA,0
"2350","H2",2004,2004,"2004",2,0,1,"Import",826,"United Kingdom","GBR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,15439621886,NA,NA,0
"2351","H2",2004,2004,"2004",2,0,2,"Export",826,"United Kingdom","GBR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,21732803394,NA,NA,0
"2352","H2",2004,2004,"2004",2,0,4,"Re-Import",826,"United Kingdom","GBR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,63748086,NA,NA,0
"2353","H2",2004,2004,"2004",2,0,1,"Import",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,31449153882,NA,NA,0
"2354","H2",2004,2004,"2004",2,0,2,"Export",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,19598013750,NA,NA,0
"2355","H2",2004,2004,"2004",2,0,3,"Re-Export",842,"USA","USA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"30","Pharmaceutical products",1,"No Quantity",NA,NA,NA,NA,NA,NA,571896888,NA,NA,0
